# Gabbard et al. (2025), experimental data, extracted from
# "LowWeberDropRebound - Data.xlsx" (harrislab-brown/LowWeberDropRebound),
# sheet 2, the Experiment block. Dimensionless throughout.
We,We_unc,cor,cor_unc,Oh,Bo
0.2197626014396613,0.005772577766716497,0.7813634615795371,0.027837407864952302,0.042181858926155516,0.00499251144021029
0.559401226210831,0.018549818787350594,0.7249059987804024,0.02029474907549793,0.043619612050542086,0.0043661106074281645
0.051306285678011536,0.0025477276946892316,0.7776383854696349,0.05222164095185677,0.042065398952030764,0.0050480294470451
0.126237255074795,0.004563470111572916,0.7868244010353168,0.029689751422095453,0.039980422078209905,0.006186320690037986
0.15874448589680862,0.007108962160644304,0.8117918942653988,0.033972433103387795,0.03952137544356292,0.0064787873476906295
0.0848242510718918,0.004126187004438003,0.7966322378724522,0.058303896797297555,0.03952008584249736,0.006479633040189025
0.044153855751752,0.0017876143254522458,0.8048065457867561,0.05472269831751212,0.03967780079211917,0.006377222323109813
0.026198138662657633,0.0020691131449890815,0.7947333239554174,0.05902105396058239,0.03974402136510874,0.0063348261059532965
0.11487442283492448,0.005764930118597376,0.7979367978531483,0.03458476941461918,0.03979658640919843,0.006301423115175076
0.06132473004871416,0.0036972143593244494,0.7997159281884109,0.04757776475875078,0.03992715149004834,0.006219401843069428
0.1243948534821117,0.004487107840315763,0.8084417309702023,0.03215519348438364,0.039660967364552574,0.006388056035063528
0.06772360429216788,0.0044135397531136385,0.7786823846600267,0.03564860712971247,0.039954809182479095,0.006202198829918567
0.11884803541191889,0.00734735829065229,0.8125834675510666,0.04097739784127913,0.039531493551350244,0.006472156896917761
0.0980064595176599,0.00367220947931269,0.7989049159618933,0.0318303650211467,0.0398661765121212,0.006257539316947163
0.07891200958289729,0.0026294655819054115,0.7710321358843378,0.03077602454284417,0.043623753123095334,0.004364452996132045
0.4120701661012475,0.003978191543670672,0.7632398249968112,0.01712295285947035,0.04391975047235157,0.004247980086069128
0.44612415800477334,0.005511489135785739,0.7595599807856367,0.0162850722547691,0.04433082676932816,0.004092593446134269
0.30415025643202254,0.006614805481934626,0.7752551989968037,0.01807975234089799,0.03986430310724531,0.006258715680776301
0.21706596849941076,0.005446549830773166,0.784944278485839,0.01784648436380113,0.042242334160941725,0.00496398313427258
0.10337996043761356,0.0032027659690676167,0.7773828992126598,0.026986465404222976,0.04248514030301104,0.004851473919601465
0.21350081964154385,0.005049027490371036,0.7722144864469227,0.018465928247445085,0.04466656406985732,0.003970925543199248
