ppm,kind,We,cor,tc,Oh_0,ok,wall_s
0,experiment,0.100171018,0.85354298,1.6420402846143263,0.006766649524509585,true,0.0
0,experiment,0.072376564,0.85720056,1.6420402846143263,0.006766649524509585,true,0.0
0,experiment,0.102790486,0.827545653,1.4778362561528935,0.006766649524509585,true,0.0
0,experiment,0.071381683,0.877847084,1.4778362561528935,0.006766649524509585,true,0.0
0,experiment,0.131258596,0.868488212,1.4778362561528935,0.006766649524509585,true,0.0
0,experiment,0.099482652,0.868762659,1.6420402846143263,0.006766649524509585,true,0.0
0,experiment,0.130741014,0.888960286,1.4778362561528935,0.006766649524509585,true,0.0
0,experiment,0.484396544,0.88887727,1.313632227691461,0.006766649524509585,true,0.0
0,experiment,0.321760289,0.89622532,1.313632227691461,0.006766649524509585,true,0.0
0,experiment,0.433092685,0.887359212,1.313632227691461,0.006766649524509585,true,0.0
0,experiment,0.5891066,0.87489943,1.313632227691461,0.006766649524509585,true,0.0
0,experiment,0.651795733,0.865781022,1.1494281992300284,0.006766649524509585,true,0.0
0,experiment,0.749496623,0.859317425,1.313632227691461,0.006766649524509585,true,0.0
0,experiment,0.798031306,0.849239499,1.1494281992300284,0.006766649524509585,true,0.0
0,experiment,0.74917049,0.859013383,1.313632227691461,0.006766649524509585,true,0.0
0,experiment,1.002358301,0.834217437,1.313632227691461,0.006766649524509585,true,0.0
0,experiment,1.038353907,0.838908424,1.313632227691461,0.006766649524509585,true,0.0
0,experiment,1.205079832,0.82288271,1.313632227691461,0.006766649524509585,true,0.0
0,experiment,1.252501138,0.8176909,1.313632227691461,0.006766649524509585,true,0.0
0,experiment,1.410302035,0.797360654,1.313632227691461,0.006766649524509585,true,0.0
0,experiment,1.428624268,0.797493417,1.313632227691461,0.006766649524509585,true,0.0
0,experiment,1.54012311,0.774607485,1.313632227691461,0.006766649524509585,true,0.0
0,experiment,1.487158295,0.78036267,1.313632227691461,0.006766649524509585,true,0.0
0,experiment,1.623256281,0.758048674,1.1494281992300284,0.006766649524509585,true,0.0
0,experiment,1.656573192,0.756308222,1.313632227691461,0.006766649524509585,true,0.0
0,experiment,1.952726639,0.729714887,1.313632227691461,0.006766649524509585,true,0.0
0,experiment,1.826007038,0.733319936,1.4778362561528935,0.006766649524509585,true,0.0
0,experiment,2.029356016,0.717081324,1.313632227691461,0.006766649524509585,true,0.0
0,experiment,1.912788265,0.719679629,1.313632227691461,0.006766649524509585,true,0.0
0,experiment,2.158263975,0.700171042,1.313632227691461,0.006766649524509585,true,0.0
0,experiment,2.279402535,0.695714248,1.313632227691461,0.006766649524509585,true,0.0
0,experiment,2.28443793,0.688409823,1.313632227691461,0.006766649524509585,true,0.0
0,experiment,0.881008301,0.853292633,1.313632227691461,0.006766649524509585,true,0.0
0,experiment,2.290315377,0.680208968,1.313632227691461,0.006766649524509585,true,0.0
0,experiment,2.372594102,0.671774379,1.313632227691461,0.006766649524509585,true,0.0
0,experiment,2.639213832,0.646536109,1.4778362561528935,0.006766649524509585,true,0.0
0,experiment,2.738566051,0.602901427,1.4778362561528935,0.006766649524509585,true,0.0
0,experiment,0.041608093,0.844761956,1.8062443130757588,0.006766649524509585,true,0.0
