gamma_mN_m,mu_mPa_s,We,Oh,Bo,cor
38,1,0.000954212,0.00937994,0.0231645,0
38,1,0.000983321,0.00937994,0.0231645,0
38,1,0.00101332,0.00937994,0.0231645,0.140094
38,1,0.00104423,0.00937994,0.0231645,0.517331
38,1,0.00107608,0.00937994,0.0231645,0.644418
38,1,0.00110891,0.00937994,0.0231645,0.716235
38,1,0.00114274,0.00937994,0.0231645,0.763091
38,1,0.0011776,0.00937994,0.0231645,0.796202
38,1,0.00121352,0.00937994,0.0231645,0.82087
38,1,0.00125054,0.00937994,0.0231645,0.83996
38,1,0.00128869,0.00937994,0.0231645,0.855172
38,1,0.00136851,0.00937994,0.0231645,0.877862
38,1,0.0015433,0.00937994,0.0231645,0.906034
38,1,0.00174041,0.00937994,0.0231645,0.922902
38,1,0.00221336,0.00937994,0.0231645,0.940494
38,1,0.00281485,0.00937994,0.0231645,0.945435
38,1,0.00357979,0.00937994,0.0231645,0.944806
38,1,0.0045526,0.00937994,0.0231645,0.943116
38,1,0.00578978,0.00937994,0.0231645,0.938918
38,1,0.00736316,0.00937994,0.0231645,0.936636
38,1,0.00936411,0.00937994,0.0231645,0.936315
38,1,0.0119088,0.00937994,0.0231645,0.938621
38,1,0.0151451,0.00937994,0.0231645,0.942193
38,1,0.0192608,0.00937994,0.0231645,0.944964
38,1,0.0244949,0.00937994,0.0231645,0.946981
38,1,0.0311514,0.00937994,0.0231645,0.9482
38,1,0.0396169,0.00937994,0.0231645,0.94918
38,1,0.0503828,0.00937994,0.0231645,0.94994
38,1,0.0640744,0.00937994,0.0231645,0.949654
38,1,0.0814868,0.00937994,0.0231645,0.948127
38,1,0.103631,0.00937994,0.0231645,0.944844
38,1,0.131793,0.00937994,0.0231645,0.939673
38,1,0.167608,0.00937994,0.0231645,0.932572
38,1,0.213155,0.00937994,0.0231645,0.923381
38,1,0.271081,0.00937994,0.0231645,0.912257
38,1,0.344747,0.00937994,0.0231645,0.899135
38,1,0.438433,0.00937994,0.0231645,0.884063
38,1,0.557578,0.00937994,0.0231645,0.867137
38,1,0.7091,0.00937994,0.0231645,0.848305
38,1,0.901799,0.00937994,0.0231645,0.827788
