surface,population,R_m,Oh,Bo,We,cor_theirs,We_ours,cor_ours
glaco,small,2.4025987e-05,0.024079394,7.8414097e-05,3.0059378e-06,0,NaN,0
glaco,small,2.4025987e-05,0.024079394,7.8414097e-05,3.1549817e-06,0,1.8417829e-08,0
glaco,small,2.4025987e-05,0.024079394,7.8414097e-05,3.2322525e-06,0,9.5688582e-08,0
glaco,small,2.4025987e-05,0.024079394,7.8414097e-05,3.3114157e-06,0.44165797,1.7485182e-07,0.44165797
glaco,small,2.4025987e-05,0.024079394,7.8414097e-05,3.3925178e-06,0.66081759,2.559539e-07,0.66081759
glaco,small,2.4025987e-05,0.024079394,7.8414097e-05,3.4756062e-06,0.75121644,3.3904231e-07,0.75121644
glaco,small,2.4025987e-05,0.024079394,7.8414097e-05,3.5607296e-06,0.8020198,4.2416569e-07,0.8020198
glaco,small,2.4025987e-05,0.024079394,7.8414097e-05,3.6479378e-06,0.83476505,5.1137388e-07,0.83476505
glaco,small,2.4025987e-05,0.024079394,7.8414097e-05,3.7372818e-06,0.85766438,6.0071795e-07,0.85766438
glaco,small,2.4025987e-05,0.024079394,7.8414097e-05,3.8288141e-06,0.87460253,6.922502e-07,0.87460253
glaco,small,2.4025987e-05,0.024079394,7.8414097e-05,4.0186588e-06,0.89796856,8.8209494e-07,0.89796856
glaco,small,2.4025987e-05,0.024079394,7.8414097e-05,4.4270543e-06,0.92418823,1.2904905e-06,0.92418823
glaco,small,2.4025987e-05,0.024079394,7.8414097e-05,5.3725725e-06,0.94746613,2.2360086e-06,0.94746613
glaco,small,2.4025987e-05,0.024079394,7.8414097e-05,6.5200319e-06,0.9580178,3.383468e-06,0.9580178
glaco,small,2.4025987e-05,0.024079394,7.8414097e-05,7.9125624e-06,0.9639345,4.7759986e-06,0.9639345
glaco,small,2.4025987e-05,0.024079394,7.8414097e-05,9.6025059e-06,0.96765439,6.465942e-06,0.96765439
glaco,small,2.4025987e-05,0.024079394,7.8414097e-05,1.1653383e-05,0.97015839,8.516819e-06,0.97015839
glaco,small,2.4025987e-05,0.024079394,7.8414097e-05,1.4142281e-05,0.9719271,1.1005717e-05,0.9719271
glaco,small,2.4025987e-05,0.024079394,7.8414097e-05,1.716275e-05,0.97321419,1.4026186e-05,0.97321419
glaco,small,2.4025987e-05,0.024079394,7.8414097e-05,2.0828323e-05,0.97418616,1.769176e-05,0.97418616
glaco,small,2.4025987e-05,0.024079394,7.8414097e-05,2.527678e-05,0.97590636,2.2140216e-05,0.97590636
glaco,small,2.4025987e-05,0.024079394,7.8414097e-05,3.0675325e-05,0.97713895,2.7538762e-05,0.97713895
glaco,small,2.4025987e-05,0.024079394,7.8414097e-05,3.7226878e-05,0.97707025,3.4090314e-05,0.97707025
glaco,small,2.4025987e-05,0.024079394,7.8414097e-05,4.5177692e-05,0.97651708,4.2041129e-05,0.97651708
glaco,small,2.4025987e-05,0.024079394,7.8414097e-05,5.482662e-05,0.9757474,5.1690057e-05,0.9757474
glaco,small,2.4025987e-05,0.024079394,7.8414097e-05,6.653634e-05,0.97462394,6.3399776e-05,0.97462394
glaco,small,2.4025987e-05,0.024079394,7.8414097e-05,8.074699e-05,0.97317948,7.7610426e-05,0.97317948
glaco,small,2.4025987e-05,0.024079394,7.8414097e-05,9.7992711e-05,0.97153548,9.4856148e-05,0.97153548
glaco,small,2.4025987e-05,0.024079394,7.8414097e-05,0.00011892173,0.96980728,0.00011578516,0.96980728
glaco,small,2.4025987e-05,0.024079394,7.8414097e-05,0.0001443207,0.96807799,0.00014118414,0.96807799
glaco,small,2.4025987e-05,0.024079394,7.8414097e-05,0.00017514433,0.96694464,0.00017200776,0.96694464
glaco,small,2.4025987e-05,0.024079394,7.8414097e-05,0.00021255117,0.96738655,0.00020941461,0.96738655
glaco,small,2.4025987e-05,0.024079394,7.8414097e-05,0.00025794727,0.96691407,0.00025481071,0.96691407
glaco,small,2.4025987e-05,0.024079394,7.8414097e-05,0.00031303894,0.96561429,0.00030990238,0.96561429
glaco,small,2.4025987e-05,0.024079394,7.8414097e-05,0.00037989695,0.96379585,0.00037676038,0.96379585
glaco,small,2.4025987e-05,0.024079394,7.8414097e-05,0.0004610343,0.96177124,0.00045789774,0.96177124
glaco,small,2.4025987e-05,0.024079394,7.8414097e-05,0.00055950074,0.95962592,0.00055636418,0.95962592
glaco,small,2.4025987e-05,0.024079394,7.8414097e-05,0.00067899738,0.95871626,0.00067586082,0.95871626
glaco,small,2.4025987e-05,0.024079394,7.8414097e-05,0.00082401579,0.95843196,0.00082087923,0.95843196
glaco,small,2.4025987e-05,0.024079394,7.8414097e-05,0.0010000068,0.95743757,0.00099687027,0.95743757
glaco,small,2.4025987e-05,0.024079394,7.8414097e-05,0.0012135856,0.95583988,0.001210449,0.95583988
glaco,small,2.4025987e-05,0.024079394,7.8414097e-05,0.0014727798,0.95388454,0.0014696433,0.95388454
glaco,small,2.4025987e-05,0.024079394,7.8414097e-05,0.0017873321,0.9531613,0.0017841956,0.9531613
glaco,small,2.4025987e-05,0.024079394,7.8414097e-05,0.0021690657,0.95273307,0.0021659291,0.95273307
glaco,small,2.4025987e-05,0.024079394,7.8414097e-05,0.0026323288,0.95157131,0.0026291922,0.95157131
glaco,small,2.4025987e-05,0.024079394,7.8414097e-05,0.0031945344,0.94996719,0.0031913978,0.94996719
glaco,small,2.4025987e-05,0.024079394,7.8414097e-05,0.0038768143,0.94942623,0.0038736777,0.94942623
glaco,small,2.4025987e-05,0.024079394,7.8414097e-05,0.0047048137,0.94865349,0.0047016771,0.94865349
glaco,small,2.4025987e-05,0.024079394,7.8414097e-05,0.0057096549,0.94721544,0.0057065184,0.94721544
glaco,small,2.4025987e-05,0.024079394,7.8414097e-05,0.0069291074,0.9465068,0.0069259708,0.9465068
glaco,small,2.4025987e-05,0.024079394,7.8414097e-05,0.0084090072,0.945523,0.0084058707,0.945523
glaco,small,2.4025987e-05,0.024079394,7.8414097e-05,0.01020498,0.94423521,0.010201843,0.94423521
