backend,We,Oh,Bo,M,K,ok,cor,tc,wall_s,rejects,mode
var/active-set,0.1,0.02,0.019,45,3,true,0.9089795598935905,2.8706696954811437,2.547,0,ok
var/active-set,0.1,0.05,0.019,45,3,true,0.8398891085755732,2.9015647953428245,1.52,0,ok
var/active-set,0.1,0.1,0.019,45,3,true,0.755286105472234,2.924736120239085,1.495,0,ok
var/active-set,0.1,0.3,0.019,45,3,true,0.5505114242359543,2.950482036790486,1.482,0,ok
var/active-set,0.1,0.7,0.019,45,3,true,0.33754399842322663,3.2027920189942125,1.554,0,ok
var/active-set,0.3,0.02,0.019,45,3,true,0.856666366379285,2.579740838450316,1.311,0,ok
var/active-set,0.3,0.05,0.019,45,3,true,0.7663154336842843,2.6029121633465766,1.301,0,ok
var/active-set,0.3,0.1,0.019,45,3,true,0.6685987947352865,2.618359713277417,1.553,0,ok
var/active-set,0.3,0.3,0.019,45,3,true,0.4691622295980087,2.582315430105456,1.347,0,ok
var/active-set,0.3,0.7,0.019,45,3,true,0.28406848518158795,2.839774595619463,1.416,0,ok
var/active-set,1.0,0.02,0.019,45,3,true,0.75360148506561,2.322281672936309,1.201,0,ok
var/active-set,1.0,0.05,0.019,45,3,true,0.6443526453557146,2.3428784061774297,1.172,0,ok
var/active-set,1.0,0.1,0.019,45,3,true,0.5429447932733756,2.3454529978325698,1.201,0,ok
var/active-set,1.0,0.3,0.019,45,3,true,0.3631666722176125,2.270789839833508,1.095,0,ok
var/active-set,1.0,0.7,0.019,45,3,true,0.21534558853649746,2.471607988934433,1.506,0,ok
var/active-set,2.0,0.02,0.019,45,3,true,0.6806952026712054,2.201275865144726,1.191,0,ok
var/active-set,2.0,0.05,0.019,45,3,true,0.5670081380196268,2.2192980067307064,1.187,0,ok
var/active-set,2.0,0.1,0.019,45,3,true,0.4681234476994596,2.2167234150755664,1.111,0,ok
var/active-set,2.0,0.3,0.019,45,3,true,0.3047300776736098,2.126612707145664,1.068,0,ok
var/active-set,2.0,0.7,0.019,45,3,true,0.1770515691929174,2.3042595313503287,1.171,0,ok
var/active-set,3.0,0.02,0.019,45,3,false,5.251350017707017e-15,25.001859563065167,11.79,0,no_release
var/active-set,3.0,0.05,0.019,45,3,true,0.5229073977774054,2.1523586236970647,1.072,0,ok
var/active-set,3.0,0.1,0.019,45,3,true,0.4267558835705053,2.1497840320419246,1.09,0,ok
var/active-set,3.0,0.3,0.019,45,3,true,0.27286446743614534,2.054524140801742,1.027,0,ok
var/active-set,3.0,0.7,0.019,45,3,true,0.15647299984384516,2.2167234150755664,1.335,0,ok
var/lcp,0.1,0.02,0.019,45,3,true,0.9089795598932123,2.8706696954811437,4.886,0,ok
var/lcp,0.1,0.05,0.019,45,3,true,0.8398891085747711,2.9015647953428245,2.741,0,ok
var/lcp,0.1,0.1,0.019,45,3,true,0.7552861054722769,2.924736120239085,2.775,0,ok
var/lcp,0.1,0.3,0.019,45,3,true,0.5505114242358543,2.950482036790486,3.077,0,ok
var/lcp,0.1,0.7,0.019,45,3,true,0.3375439984230876,3.2027920189942125,3.415,0,ok
var/lcp,0.3,0.02,0.019,45,3,true,0.8566613360970732,2.579740838450316,2.452,0,ok
var/lcp,0.3,0.05,0.019,45,3,true,0.7663048632622296,2.6029121633465766,2.539,0,ok
var/lcp,0.3,0.1,0.019,45,3,true,0.668598943867905,2.618359713277417,2.484,0,ok
var/lcp,0.3,0.3,0.019,45,3,true,0.46916222959803544,2.582315430105456,2.494,0,ok
var/lcp,0.3,0.7,0.019,45,3,true,0.2840684851816625,2.839774595619463,2.731,0,ok
var/lcp,1.0,0.02,0.019,45,3,true,0.7536042033820209,2.322281672936309,2.224,0,ok
var/lcp,1.0,0.05,0.019,45,3,true,0.6443513823571738,2.3428784061774297,2.223,0,ok
var/lcp,1.0,0.1,0.019,45,3,true,0.5429448227021504,2.3454529978325698,2.241,0,ok
var/lcp,1.0,0.3,0.019,45,3,true,0.3631666725721352,2.270789839833508,2.448,0,ok
var/lcp,1.0,0.7,0.019,45,3,true,0.21534558853641822,2.471607988934433,2.61,0,ok
var/lcp,2.0,0.02,0.019,45,3,true,0.6806890341106184,2.201275865144726,2.237,0,ok
var/lcp,2.0,0.05,0.019,45,3,true,0.5670105139438594,2.2192980067307064,2.334,0,ok
var/lcp,2.0,0.1,0.019,45,3,true,0.46812338262833886,2.2167234150755664,2.356,0,ok
var/lcp,2.0,0.3,0.019,45,3,true,0.3047300798994056,2.126612707145664,2.187,0,ok
var/lcp,2.0,0.7,0.019,45,3,true,0.17705156931451055,2.3042595313503287,2.583,0,ok
var/lcp,3.0,0.02,0.019,45,3,true,0.637722795511055,2.134336482111084,2.191,0,ok
var/lcp,3.0,0.05,0.019,45,3,true,0.5229050112925658,2.1523586236970647,2.205,0,ok
var/lcp,3.0,0.1,0.019,45,3,true,0.42675527694388077,2.1497840320419246,2.155,0,ok
var/lcp,3.0,0.3,0.019,45,3,true,0.2728644723591275,2.054524140801742,2.05,0,ok
var/lcp,3.0,0.7,0.019,45,3,true,0.156472999852758,2.2167234150755664,2.372,0,ok
nonvar/tangency,0.1,0.02,0.019,45,3,true,1.4985000110512026e-27,24.811339780584806,9.882,0,ok
