case,gamma_N_per_m,mu_Pa_s,we_reported,we_true,Oh,Bo,cor
g50,0.05,0.001,0.00028683293,0.00041762874,0.00817724,0.017605,0
g50,0.05,0.001,0.00034021442,0.0004953522,0.00817724,0.017605,0
g50,0.05,0.001,0.00040353056,0.0005875405,0.00817724,0.017605,0
g50,0.05,0.001,0.00047863025,0.00069688565,0.00817724,0.017605,0
g50,0.05,0.001,0.00049949492,0.0007272646,0.00817724,0.017605,0
g50,0.05,0.001,0.00052126912,0.00075896784,0.00817724,0.017605,0.21490288
g50,0.05,0.001,0.00054399252,0.00079205311,0.00817724,0.017605,0.62774783
g50,0.05,0.001,0.00056770649,0.00082658065,0.00817724,0.017605,0.74623761
g50,0.05,0.001,0.0005924542,0.00086261332,0.00817724,0.017605,0.80700475
g50,0.05,0.001,0.00061828073,0.00090021675,0.00817724,0.017605,0.84428584
g50,0.05,0.001,0.00064523311,0.0009394594,0.00817724,0.017605,0.86951002
g50,0.05,0.001,0.0006733604,0.00098041274,0.00817724,0.017605,0.88768426
g50,0.05,0.001,0.00070271383,0.0010231513,0.00817724,0.017605,0.90136867
g50,0.05,0.001,0.00073334684,0.001067753,0.00817724,0.017605,0.91202998
g50,0.05,0.001,0.0007986772,0.001162874,0.00817724,0.017605,0.92746152
g50,0.05,0.001,0.00094731627,0.0013792925,0.00817724,0.017605,0.94506224
g50,0.05,0.001,0.0011236181,0.0016359879,0.00817724,0.017605,0.95241306
g50,0.05,0.001,0.0013327308,0.001940456,0.00817724,0.017605,0.95434706
g50,0.05,0.001,0.0015807607,0.0023015876,0.00817724,0.017605,0.95463467
g50,0.05,0.001,0.0018749507,0.0027299282,0.00817724,0.017605,0.95411456
g50,0.05,0.001,0.0022238913,0.0032379858,0.00817724,0.017605,0.95242571
g50,0.05,0.001,0.0026377721,0.0038405962,0.00817724,0.017605,0.94857181
g50,0.05,0.001,0.0031286789,0.0045553564,0.00817724,0.017605,0.94560359
g50,0.05,0.001,0.0037109466,0.0054031382,0.00817724,0.017605,0.94390449
g50,0.05,0.001,0.0044015781,0.0064086978,0.00817724,0.017605,0.94219475
g50,0.05,0.001,0.0052207408,0.0076013986,0.00817724,0.017605,0.94168856
g50,0.05,0.001,0.006192355,0.0090160688,0.00817724,0.017605,0.94281997
g50,0.05,0.001,0.0073447929,0.010694019,0.00817724,0.017605,0.94507951
g50,0.05,0.001,0.0087117072,0.012684246,0.00817724,0.017605,0.94725507
g50,0.05,0.001,0.010333013,0.015044867,0.00817724,0.017605,0.94885794
g50,0.05,0.001,0.012256055,0.017844816,0.00817724,0.017605,0.95049235
g50,0.05,0.001,0.014536987,0.021165853,0.00817724,0.017605,0.95145559
g50,0.05,0.001,0.017242416,0.025104958,0.00817724,0.017605,0.9524035
g50,0.05,0.001,0.020451343,0.029777156,0.00817724,0.017605,0.95298947
g50,0.05,0.001,0.024257473,0.03531888,0.00817724,0.017605,0.9537094
g50,0.05,0.001,0.028771948,0.041891956,0.00817724,0.017605,0.95448019
g50,0.05,0.001,0.034126596,0.049688324,0.00817724,0.017605,0.95478541
g50,0.05,0.001,0.04047778,0.058935648,0.00817724,0.017605,0.95488511
g50,0.05,0.001,0.048010961,0.06990396,0.00817724,0.017605,0.9541782
g50,0.05,0.001,0.056946117,0.082913546,0.00817724,0.017605,0.95276501
g50,0.05,0.001,0.067544164,0.098344302,0.00817724,0.017605,0.95059671
g50,0.05,0.001,0.080114577,0.11664682,0.00817724,0.017605,0.9474339
g50,0.05,0.001,0.095024426,0.13835556,0.00817724,0.017605,0.94332655
g50,0.05,0.001,0.1127091,0.16410444,0.00817724,0.017605,0.93835303
g50,0.05,0.001,0.133685,0.19464536,0.00817724,0.017605,0.93238742
g50,0.05,0.001,0.15856466,0.23087014,0.00817724,0.017605,0.92541396
g50,0.05,0.001,0.18807458,0.27383659,0.00817724,0.017605,0.91752773
g50,0.05,0.001,0.2230765,0.32479938,0.00817724,0.017605,0.90868304
g50,0.05,0.001,0.2645925,0.38524668,0.00817724,0.017605,0.89880763
g50,0.05,0.001,0.31383491,0.45694362,0.00817724,0.017605,0.88805852
g50,0.05,0.001,0.37224165,0.54198384,0.00817724,0.017605,0.87649247
g50,0.05,0.001,0.44151826,0.64285059,0.00817724,0.017605,0.86377899
g50,0.05,0.001,0.52368772,0.76248932,0.00817724,0.017605,0.85014919
g50,0.05,0.001,0.62114944,0.90439359,0.00817724,0.017605,0.83570465
g50,0.05,0.001,0.73674944,1.0727072,0.00817724,0.017605,0.82068098
g50,0.05,0.001,0.87386335,1.272345,0.00817724,0.017605,0.80467296
g50,0.05,0.001,1.0364951,1.5091368,0.00817724,0.017605,0.78799267
g50,0.05,0.001,1.2293936,1.7899971,0.00817724,0.017605,0.77101732
g50,0.05,0.001,1.4581919,2.1231273,0.00817724,0.017605,0.75364884
g50,0.05,0.001,1.7295709,2.5182553,0.00817724,0.017605,0.73540802
g50,0.05,0.001,2.0514555,2.9869192,0.00817724,0.017605,0.71754966
g50,0.05,0.001,2.4332448,3.5428045,0.00817724,0.017605,0.69968916
g50,0.05,0.001,2.8860877,4.2021437,0.00817724,0.017605,0.68174391
g50,0.05,0.001,3.4232076,4.9841902,0.00817724,0.017605,0.66412132
g40,0.04,0.001,0.00024182728,0.00044012565,0.00914243,0.0220063,0
g40,0.04,0.001,0.00028683293,0.00052203593,0.00914243,0.0220063,0
g40,0.04,0.001,0.00034021442,0.00061919025,0.00914243,0.0220063,0
g40,0.04,0.001,0.00040353056,0.00073442562,0.00914243,0.0220063,0
g40,0.04,0.001,0.00047863025,0.00087110706,0.00914243,0.0220063,0
g40,0.04,0.001,0.00052126912,0.0009487098,0.00914243,0.0220063,0
g40,0.04,0.001,0.00054399252,0.00099006639,0.00914243,0.0220063,0.53124441
g40,0.04,0.001,0.00056770649,0.0010332258,0.00914243,0.0220063,0.69166595
g40,0.04,0.001,0.0005924542,0.0010782667,0.00914243,0.0220063,0.76896248
g40,0.04,0.001,0.00061828073,0.0011252709,0.00914243,0.0220063,0.81498187
g40,0.04,0.001,0.00064523311,0.0011743243,0.00914243,0.0220063,0.84520685
g40,0.04,0.001,0.0006733604,0.0012255159,0.00914243,0.0220063,0.86624053
g40,0.04,0.001,0.00070271383,0.0012789392,0.00914243,0.0220063,0.88173935
g40,0.04,0.001,0.00073334684,0.0013346913,0.00914243,0.0220063,0.89359622
g40,0.04,0.001,0.0007986772,0.0014535925,0.00914243,0.0220063,0.91047999
g40,0.04,0.001,0.00094731627,0.0017241156,0.00914243,0.0220063,0.93019238
g40,0.04,0.001,0.0011236181,0.0020449849,0.00914243,0.0220063,0.94112712
g40,0.04,0.001,0.0013327308,0.00242557,0.00914243,0.0220063,0.94678068
g40,0.04,0.001,0.0015807607,0.0028769845,0.00914243,0.0220063,0.94801668
g40,0.04,0.001,0.0018749507,0.0034124103,0.00914243,0.0220063,0.94644065
g40,0.04,0.001,0.0022238913,0.0040474822,0.00914243,0.0220063,0.94505477
g40,0.04,0.001,0.0026377721,0.0048007453,0.00914243,0.0220063,0.94329113
g40,0.04,0.001,0.0031286789,0.0056941956,0.00914243,0.0220063,0.9403707
g40,0.04,0.001,0.0037109466,0.0067539228,0.00914243,0.0220063,0.93782466
g40,0.04,0.001,0.0044015781,0.0080108722,0.00914243,0.0220063,0.93729419
g40,0.04,0.001,0.0052207408,0.0095017482,0.00914243,0.0220063,0.93780042
g40,0.04,0.001,0.006192355,0.011270086,0.00914243,0.0220063,0.93960389
g40,0.04,0.001,0.0073447929,0.013367523,0.00914243,0.0220063,0.94178962
g40,0.04,0.001,0.0087117072,0.015855307,0.00914243,0.0220063,0.94423118
g40,0.04,0.001,0.010333013,0.018806084,0.00914243,0.0220063,0.94604454
g40,0.04,0.001,0.012256055,0.02230602,0.00914243,0.0220063,0.94740689
g40,0.04,0.001,0.014536987,0.026457317,0.00914243,0.0220063,0.94845296
g40,0.04,0.001,0.017242416,0.031381197,0.00914243,0.0220063,0.9492459
g40,0.04,0.001,0.020451343,0.037221445,0.00914243,0.0220063,0.9500413
g40,0.04,0.001,0.024257473,0.0441486,0.00914243,0.0220063,0.9505
g40,0.04,0.001,0.028771948,0.052364945,0.00914243,0.0220063,0.95103461
g40,0.04,0.001,0.034126596,0.062110405,0.00914243,0.0220063,0.95070458
g40,0.04,0.001,0.04047778,0.07366956,0.00914243,0.0220063,0.95006917
g40,0.04,0.001,0.048010961,0.08737995,0.00914243,0.0220063,0.94834886
g40,0.04,0.001,0.056946117,0.10364193,0.00914243,0.0220063,0.94581412
g40,0.04,0.001,0.067544164,0.12293038,0.00914243,0.0220063,0.94245487
g40,0.04,0.001,0.080114577,0.14580853,0.00914243,0.0220063,0.9379402
g40,0.04,0.001,0.095024426,0.17294446,0.00914243,0.0220063,0.93250798
g40,0.04,0.001,0.1127091,0.20513056,0.00914243,0.0220063,0.92603497
g40,0.04,0.001,0.133685,0.2433067,0.00914243,0.0220063,0.91864113
g40,0.04,0.001,0.15856466,0.28858768,0.00914243,0.0220063,0.91016054
g40,0.04,0.001,0.18807458,0.34229574,0.00914243,0.0220063,0.90078314
g40,0.04,0.001,0.2230765,0.40599923,0.00914243,0.0220063,0.89043764
g40,0.04,0.001,0.2645925,0.48155836,0.00914243,0.0220063,0.87895199
g40,0.04,0.001,0.31383491,0.57117953,0.00914243,0.0220063,0.86671118
g40,0.04,0.001,0.37224165,0.6774798,0.00914243,0.0220063,0.85356953
g40,0.04,0.001,0.44151826,0.80356324,0.00914243,0.0220063,0.83950711
g40,0.04,0.001,0.52368772,0.95311164,0.00914243,0.0220063,0.82449299
g40,0.04,0.001,0.62114944,1.130492,0.00914243,0.0220063,0.80889514
g40,0.04,0.001,0.73674944,1.340884,0.00914243,0.0220063,0.79271236
g40,0.04,0.001,0.87386335,1.5904313,0.00914243,0.0220063,0.77584034
g40,0.04,0.001,1.0364951,1.886421,0.00914243,0.0220063,0.75841178
g40,0.04,0.001,1.2293936,2.2374964,0.00914243,0.0220063,0.74100117
g40,0.04,0.001,1.4581919,2.6539092,0.00914243,0.0220063,0.7229914
g40,0.04,0.001,1.7295709,3.1478191,0.00914243,0.0220063,0.7049028
g40,0.04,0.001,2.0514555,3.7336489,0.00914243,0.0220063,0.68704356
g40,0.04,0.001,2.4332448,4.4285056,0.00914243,0.0220063,0.66922359
g40,0.04,0.001,2.8860877,5.2526796,0.00914243,0.0220063,0.65165296
g40,0.04,0.001,3.4232076,6.2302378,0.00914243,0.0220063,0.63435085
g30,0.03,0.001,0.00024182728,0.0005868342,0.0105568,0.0293417,0
g30,0.03,0.001,0.00028683293,0.0006960479,0.0105568,0.0293417,0
g30,0.03,0.001,0.00034021442,0.00082558699,0.0105568,0.0293417,0
g30,0.03,0.001,0.00040353056,0.00097923416,0.0105568,0.0293417,0
g30,0.03,0.001,0.00047863025,0.0011614761,0.0105568,0.0293417,0
g30,0.03,0.001,0.00052126912,0.0012649464,0.0105568,0.0293417,0
g30,0.03,0.001,0.00054399252,0.0013200885,0.0105568,0.0293417,0.197273
g30,0.03,0.001,0.00056770649,0.0013776344,0.0105568,0.0293417,0.54812415
g30,0.03,0.001,0.0005924542,0.0014376889,0.0105568,0.0293417,0.67203314
g30,0.03,0.001,0.00061828073,0.0015003612,0.0105568,0.0293417,0.74152745
g30,0.03,0.001,0.00064523311,0.0015657657,0.0105568,0.0293417,0.78649382
g30,0.03,0.001,0.0006733604,0.0016340212,0.0105568,0.0293417,0.817964
g30,0.03,0.001,0.00070271383,0.0017052522,0.0105568,0.0293417,0.84112748
g30,0.03,0.001,0.00073334684,0.0017795883,0.0105568,0.0293417,0.85849814
g30,0.03,0.001,0.00076531523,0.001857165,0.0105568,0.0293417,0.87196985
g30,0.03,0.001,0.0007986772,0.0019381233,0.0105568,0.0293417,0.88269367
g30,0.03,0.001,0.00086982751,0.0021107814,0.0105568,0.0293417,0.89856413
g30,0.03,0.001,0.00094731627,0.0022988208,0.0105568,0.0293417,0.90960269
g30,0.03,0.001,0.0011236181,0.0027266465,0.0105568,0.0293417,0.92369345
g30,0.03,0.001,0.0013327308,0.0032340933,0.0105568,0.0293417,0.93165012
g30,0.03,0.001,0.0015807607,0.0038359794,0.0105568,0.0293417,0.93529681
g30,0.03,0.001,0.0018749507,0.0045498803,0.0105568,0.0293417,0.93529679
g30,0.03,0.001,0.0022238913,0.005396643,0.0105568,0.0293417,0.93433142
g30,0.03,0.001,0.0026377721,0.0064009937,0.0105568,0.0293417,0.93328971
g30,0.03,0.001,0.0031286789,0.0075922607,0.0105568,0.0293417,0.93151684
g30,0.03,0.001,0.0037109466,0.0090052304,0.0105568,0.0293417,0.92965137
g30,0.03,0.001,0.0044015781,0.010681163,0.0105568,0.0293417,0.93005584
g30,0.03,0.001,0.0052207408,0.012668998,0.0105568,0.0293417,0.93166706
g30,0.03,0.001,0.006192355,0.015026781,0.0105568,0.0293417,0.93424012
g30,0.03,0.001,0.0073447929,0.017823364,0.0105568,0.0293417,0.93676157
g30,0.03,0.001,0.0087117072,0.021140409,0.0105568,0.0293417,0.93933421
g30,0.03,0.001,0.010333013,0.025074779,0.0105568,0.0293417,0.9410297
