# Drop rebound on black silicon (BSi), water.
# Thenarianto et al. (2023).
# Converted from data/BSi_summary.xlsx by scripts/import_thenarianto.jl.
#
# The workbook carries impact speed and drop diameter; We, Oh and Bo are
# computed here from sigma = 0.072 N/m, rho = 997.0 kg/m^3, mu = 0.001 Pa s,
# the same water properties its own U_cap column assumes. The radius is
# taken from that U_cap column rather than from the "D (mm)" column, which
# changes meaning partway through BSi_summary; see the script for why.
We,cor,Oh,Bo,R_m,U_impact_m_s
0.1385004835,0.913572249,0.003558687313,0.1643679125,0.0011,0.09535598822
0.1418730738,0.855,0.003558687313,0.1643679125,0.0011,0.09651
0.1435273207,0.929870042,0.003558687313,0.1643679125,0.0011,0.09707102497
0.1453338066,0.909,0.003558687313,0.1643679125,0.0011,0.09768
0.1523803783,0.918,0.003558687313,0.1643679125,0.0011,0.10002
0.1608338422,0.944666621,0.003558687313,0.1643679125,0.0011,0.1027569121
0.1648437722,0.896,0.003558687313,0.1643679125,0.0011,0.10403
0.1677013387,0.7946325249,0.01377481251,0.0007322064903,7.341773e-05,0.40615
0.1690856966,0.901,0.003558687313,0.1643679125,0.0011,0.10536
0.1800752901,0.92,0.003558687313,0.1643679125,0.0011,0.10873
0.1852124157,0.907,0.003558687313,0.1643679125,0.0011,0.11027
0.1862081912,0.929371452,0.003558687313,0.1643679125,0.0011,0.1105660303
0.1953927573,0.862,0.003558687313,0.1643679125,0.0011,0.11326
0.1975031326,0.912,0.003558687313,0.1643679125,0.0011,0.11387
0.1996248434,0.924,0.003558687313,0.1643679125,0.0011,0.11448
0.205880865,0.906,0.003558687313,0.1643679125,0.0011,0.11626
0.2179894886,0.909,0.003558687313,0.1643679125,0.0011,0.11963
0.2196691334,0.916,0.003558687313,0.1643679125,0.0011,0.12009
0.236630231,0.835,0.003558687313,0.1643679125,0.0011,0.12464
0.2559171445,0.851,0.003558687313,0.1643679125,0.0011,0.12962
0.2611560073,0.874,0.003558687313,0.1643679125,0.0011,0.13094
0.262788827,0.943550307,0.003240878149,0.2389601867,0.001326315789,0.1196185813
0.2639557301,0.865,0.003558687313,0.1643679125,0.0011,0.13164
0.2703427093,0.925785919,0.003240878149,0.2389601867,0.001326315789,0.121325623
0.2725044002,0.933601773,0.003240878149,0.2389601867,0.001326315789,0.1218097239
0.2851600603,0.930328824,0.003240878149,0.2389601867,0.001326315789,0.1246061702
0.2877698725,0.936245531,0.003240878149,0.2389601867,0.001326315789,0.1251750753
0.3005818003,0.915435528,0.003240878149,0.2389601867,0.001326315789,0.1279312195
