We;tc (s);epsilon
0,584851815;0,0012;0,849880101
0,39002794;0,0012;0,846700836
0,285901237;0,0013;0,836489083
0,202846825;0,0014;0,844969235
0,147037904;0,0014;0,848795866
0,108550215;0,0014;0,847965382
0,079286137;0,0016;0,852308966
0,058809738;0,0017;0,850281624
0,044392194;0,0017;0,845806422
0,03291723;0,0017;0,828438591
0,023097007;0,002;0,830411703
0,016535281;0,0021;0,806810385
0,011175811;0,0022;0,794179529
0,007178789;0,0024;0,821681229
0,004896386;0,0025;0,76267934
0,003032814;0,0027;0,701600697
0,609046878;0,0012;0,849547992
0,404283438;0,0012;0,845570235
0,294227193;0,0013;0,833908007
0,207295229;0,0014;0,845847328
0,064665346;0,0014;0,85207758
0,046548063;0,0015;0,832410884
0,03208923;0,0014;0,842170319
0,022187018;0,0015;0,834506357
0,026559651;0,0016;0,818510124
0,018000408;0,0018;0,797271876
0,011583066;0,002;0,842569588
0,206647983;0,0014;0,855402024
0,108749821;0,0015;0,841774666
0,101265504;0,0014;0,85432574
0,075630635;0,0015;0,845680972
0,054292971;0,0017;0,840120938
0,039200232;0,0017;0,837104383
0,028103155;0,0018;0,827221161
0,020174529;0,0018;0,802065159
0,013955009;0,0019;0,798338532
0,009435679;0,0021;0,770728625
0,525550381;0,0012;0,845805596
0,976212743;0,001;0,819097464
0,583405948;0,0012;0,849765549
0,391543876;0,0012;0,845666437
0,285128223;0,0013;0,83793792
0,204484218;0,0013;0,845192437
0,654835501;0,0011;0,84026379
0,878925712;0,0012;0,823786615
0,541221549;0,0013;0,850750594
0,363758287;0,0013;0,852723995
1,272396307;0,0012;0,790744466
1,046643581;0,0011;0,811643541
0,576892892;0,0012;0,848089625
0,576426792;0,0012;0,846292689
1,057617511;0,0012;0,811220043
1,179565643;0,0011;0,794399746
0,692861722;0,0012;0,840336899
1,185577269;0,0012;0,78648992
1,240663069;0,0011;0,795318907
0,702046024;0,0011;0,839826534
1,579743293;0,0011;0,761535276
1,397166156;0,001;0,781859603
1,438867282;0,0011;0,756006761
1,506208948;0,0011;0,750425163
1,974234213;0,001;0,688406888
0,831748929;0,001;0,831997922
1,974234213;0,001;0,688406888
0,831748929;0,001;0,831997922
2,25657306;0,0012;0,700071556
1,968081396;0,0012;0,724998217
0,884655782;0,0012;0,814957261
1,812377807;0,0011;0,706154028
