# Drop rebound on a Glaco coating, water.
# Thenarianto et al. (2023).
# Converted from data/Glaco_summary.xlsx by scripts/import_thenarianto.jl.
#
# The workbook carries impact speed and drop diameter; We, Oh and Bo are
# computed here from sigma = 0.072 N/m, rho = 997.0 kg/m^3, mu = 0.001 Pa s,
# the same water properties its own U_cap column assumes. The radius is
# taken from that U_cap column rather than from the "D (mm)" column, which
# changes meaning partway through BSi_summary; see the script for why.
We,cor,Oh,Bo,R_m,U_impact_m_s
0.1900749143,0.974915733,0.003083543828,0.2915921694,0.001465116279,0.09679323919
0.1949839864,0.9633441707,0.003083543828,0.2915921694,0.001465116279,0.09803521254
0.2018524049,0.9570093819,0.003083543828,0.2915921694,0.001465116279,0.09974694107
0.2104405301,0.9503809186,0.003083543828,0.2915921694,0.001465116279,0.101846783
0.2123604707,0.9445890807,0.003083543828,0.2915921694,0.001465116279,0.1023103244
0.215282939,0.9516881589,0.003083543828,0.2915921694,0.001465116279,0.1030119074
0.2162183303,0.9662081788,0.003083543828,0.2915921694,0.001465116279,0.1032354551
0.2288667534,0.961390774,0.003301713288,0.2218293106,0.001277890466,0.1137269019
0.2372484722,0.9525835876,0.003083543828,0.2915921694,0.001465116279,0.1081394943
0.2378338816,0.9534751807,0.003083543828,0.2915921694,0.001465116279,0.1082728289
0.2427255705,0.9353606045,0.003083543828,0.2915921694,0.001465116279,0.1093806217
0.2472772684,0.974552649,0.003301713288,0.2218293106,0.001277890466,0.1182126495
0.2528925958,0.951312706,0.003301713288,0.2218293106,0.001277890466,0.1195473383
0.2535476312,0.9673239342,0.003083543828,0.2915921694,0.001465116279,0.1117924311
0.2663876432,0.8888073877,0.003083543828,0.2915921694,0.001465116279,0.1145881373
0.2776548384,0.7396806431,0.00970612416,0.002970249899,0.0001478702,0.36824
0.2827294587,0.946987503,0.003083543828,0.2915921694,0.001465116279,0.1180505876
0.2941788679,0.9803469334,0.003083543828,0.2915921694,0.001465116279,0.1204171539
0.2941976398,0.8991191958,0.003083543828,0.2915921694,0.001465116279,0.1204209958
0.2996257122,0.918710156,0.003301713288,0.2218293106,0.001277890466,0.1301251951
0.303092569,0.8356542082,0.009058303876,0.003915514323,0.00016977689,0.35906
0.3037272219,0.932788923,0.003301713288,0.2218293106,0.001277890466,0.1310127953
