gammadot,eta_over_eta0,sigma_log10_eta
0.1,0.0401449785322748,0.19086905764106862
0.1778279410038923,0.030844333754163643,0.1542121352149066
0.31622776601683794,0.024425558773384017,0.12197945275331684
0.5623413251903491,0.0200183780060833,0.09284579729238362
1.0,0.017003033423507292,0.0662669803856009
1.7782794100389228,0.014944945888955792,0.04494261972786757
3.1622776601683795,0.013542537994274507,0.03747802772141855
5.623413251903491,0.012587992637632092,0.047384127733889066
10.0,0.011938780872211363,0.06366077096031834
17.78279410038923,0.011497464452445772,0.07944085970680732
31.622776601683793,0.011197575770163733,0.0928071120512297
56.23413251903491,0.010993840788055638,0.10348408122159825
100.0,0.010855452235980393,0.11172940924996029
177.82794100389228,0.01076146118247672,0.11795636508967138
316.22776601683796,0.010697628936313585,0.12258538284528107
562.341325190349,0.01065428069328227,0.1259867320101471
1000.0,0.010624844084826694,0.12846405066740635
1778.2794100389228,0.010604854959627855,0.13025603985408712
3162.2776601683795,0.010591281428555333,0.1315452579453245
5623.413251903491,0.010582064479942564,0.13246869207909445
10000.0,0.010575805864318201,0.13312773039202042
17782.794100389227,0.010571556076830978,0.13359664723127768
31622.776601683792,0.01056867035366118,0.13392942759898227
56234.13251903491,0.010566710872402045,0.1341650677612466
100000.0,0.010565380335637451,0.13433159743859938
