ppm,kind,We,cor,tc,Oh_0,ok,wall_s
300,experiment,0.041723579,0.856361779,2.2988563984600567,0.5030728437706891,true,0.0
300,experiment,0.031633325,0.840594122,2.2988563984600567,0.5030728437706891,true,0.0
300,experiment,0.02259346,0.836096149,2.4630604269214893,0.5030728437706891,true,0.0
300,experiment,0.015643992,0.834171163,2.7914684838443544,0.5030728437706891,true,0.0
300,experiment,0.010990044,0.818342411,2.7914684838443544,0.5030728437706891,true,0.0
300,experiment,0.007507821,0.828312711,2.7914684838443544,0.5030728437706891,true,0.0
300,experiment,0.003596877,0.749751068,3.1198765407672195,0.5030728437706891,true,0.0
300,experiment,0.112713181,0.868694118,1.9704483415371912,0.5030728437706891,true,0.0
300,experiment,0.086712348,0.860446858,1.9704483415371912,0.5030728437706891,true,0.0
300,experiment,0.07166937,0.857674567,1.9704483415371912,0.5030728437706891,true,0.0
300,experiment,0.053132133,0.846451038,2.1346523699986237,0.5030728437706891,true,0.0
300,experiment,0.038150507,0.845253366,2.2988563984600567,0.5030728437706891,true,0.0
300,experiment,0.027440138,0.84487974,2.2988563984600567,0.5030728437706891,true,0.0
300,experiment,0.07051114,0.863663149,2.2988563984600567,0.5030728437706891,true,0.0
300,experiment,0.05398407,0.845890071,2.2988563984600567,0.5030728437706891,true,0.0
300,experiment,0.039698405,0.83605126,2.2988563984600567,0.5030728437706891,true,0.0
300,experiment,0.028546171,0.830674928,2.4630604269214893,0.5030728437706891,true,0.0
300,experiment,0.020434737,0.79516301,2.7914684838443544,0.5030728437706891,true,0.0
300,experiment,0.0624438,0.856572449,2.1346523699986237,0.5030728437706891,true,0.0
300,experiment,0.046542505,0.844803157,2.2988563984600567,0.5030728437706891,true,0.0
300,experiment,0.034319969,0.825822315,2.2988563984600567,0.5030728437706891,true,0.0
300,experiment,0.024005031,0.820777957,2.4630604269214893,0.5030728437706891,true,0.0
300,experiment,0.016738876,0.814036031,2.627264455382922,0.5030728437706891,true,0.0
300,experiment,0.043994314,0.85295865,2.1346523699986237,0.5030728437706891,true,0.0
300,experiment,0.032637252,0.828580482,2.2988563984600567,0.5030728437706891,true,0.0
300,experiment,0.022596632,0.820566281,2.4630604269214893,0.5030728437706891,true,0.0
300,experiment,0.015616295,0.804128983,2.627264455382922,0.5030728437706891,true,0.0
300,experiment,0.010650745,0.798926609,2.627264455382922,0.5030728437706891,true,0.0
300,experiment,0.010613235,0.811986871,2.7914684838443544,0.5030728437706891,true,0.0
300,experiment,0.007305647,0.774477646,2.7914684838443544,0.5030728437706891,true,0.0
300,experiment,0.039769241,0.845422828,2.1346523699986237,0.5030728437706891,true,0.0
300,experiment,0.028811963,0.831076105,2.2988563984600567,0.5030728437706891,true,0.0
300,experiment,0.019747429,0.818689654,2.4630604269214893,0.5030728437706891,true,0.0
300,experiment,0.064348557,0.859814087,2.1346523699986237,0.5030728437706891,true,0.0
300,experiment,0.048165061,0.848971415,2.2988563984600567,0.5030728437706891,true,0.0
300,experiment,0.034639745,0.83823104,2.627264455382922,0.5030728437706891,true,0.0
300,experiment,0.02496478,0.833973696,2.4630604269214893,0.5030728437706891,true,0.0
300,experiment,0.017464761,0.820276762,2.7914684838443544,0.5030728437706891,true,0.0
300,experiment,0.01212428,0.807774705,2.7914684838443544,0.5030728437706891,true,0.0
300,experiment,0.008158839,0.790316664,2.955672512305787,0.5030728437706891,true,0.0
300,experiment,0.085371412,0.855519265,1.9704483415371912,0.5030728437706891,true,0.0
300,experiment,0.064076512,0.840114776,2.1346523699986237,0.5030728437706891,true,0.0
300,experiment,0.047219145,0.83924027,2.1346523699986237,0.5030728437706891,true,0.0
300,experiment,0.034919156,0.836208653,2.1346523699986237,0.5030728437706891,true,0.0
